AdjustSTS	cpu_adjust_sts
DoDNZ	float_do_dnz
DoDNZ32	float_do_dnz32
DoNLZ	float_do_nlz
DoNLZ32	float_do_nlz32
DrumDevice_SetBackingFile	drum_set_backing_file
Escp_Create	escp_create
Escp_Destroy	escp_destroy
Escp_GetPageCount	escp_get_page_count
Escp_GetSpans	escp_get_spans
Escp_PutChar	escp_put_char
Escp_Reset	escp_reset
Escp_StripToPlainChar	escp_strip_to_plain_char
FetchVirtualMemory	mms_fetch_virtual_memory
GetBCD	cpu_get_bcd
GetLastBPUNHeader	bpun_get_last_header
GetLastPROGHeader	prog_get_last_header
GetPTShadowAddress	mms_get_pt_shadow_address
GetPageTableEntry	mms_get_page_table_entry
GetPageTableEntryDebugInfo	mms_get_page_table_entry_debug_info
GetPageTableEntryForDebugger	mms_get_page_table_entry_for_debugger
GetPageTableMemoryRange	debugger_get_page_table_memory_range
GetPhysicalMemoryType	mms_get_physical_memory_type
HDLCFrame_AddByte	hdlc_frame_add_byte
HDLCFrame_AddBytes	hdlc_frame_add_bytes
HDLCFrame_BuildFrame	hdlc_frame_build_frame
HDLCFrame_CalculateCRC	hdlc_frame_calculate_crc
HDLCFrame_DestuffByte	hdlc_frame_destuff_byte
HDLCFrame_GetFrameData	hdlc_frame_get_frame_data
HDLCFrame_GetFrameLength	hdlc_frame_get_frame_length
HDLCFrame_Init	hdlc_frame_init
HDLCFrame_IsCRCValid	hdlc_frame_is_crc_valid
HDLCFrame_IsFrameComplete	hdlc_frame_is_frame_complete
HDLCFrame_Reset	hdlc_frame_reset
HDLCFrame_StuffByte	hdlc_frame_stuff_byte
HDLCFrame_UpdateCRC	hdlc_frame_update_crc
HDLC_BridgeInjectRx	hdlc_bridge_inject_rx
HDLC_CRC_AddParityBit	hdlc_crc_crc_add_parity_bit
HDLC_CRC_CalcCCITT	hdlc_crc_crc_calc_ccitt
